2019-05-30 18:22:48 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,1; Parcels:      0; Health: 995.0; Health Usage: 1000.0; Fuel: 241.0; Tile: ROAD
2019-05-30 18:22:48 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,1; Parcels:      0; Health: 995.0; Health Usage: 1000.0; Fuel: 241.0; Tile: ROAD
2019-05-30 18:22:48 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,1; Parcels:      0; Health: 995.0; Health Usage: 1000.0; Fuel: 241.0; Tile: ROAD
2019-05-30 18:22:48 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,1; Parcels:      0; Health: 995.0; Health Usage: 1000.0; Fuel: 241.0; Tile: ROAD
2019-05-30 18:22:48 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,1; Parcels:      0; Health: 995.0; Health Usage: 1000.0; Fuel: 241.0; Tile: ROAD
2019-05-30 18:22:48 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,1; Parcels:      0; Health: 995.0; Health Usage: 1000.0; Fuel: 241.0; Tile: ROAD
2019-05-30 18:22:49 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,1; Parcels:      0; Health: 995.0; Health Usage: 1000.0; Fuel: 241.0; Tile: ROAD
2019-05-30 18:22:49 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,1; Parcels:      0; Health: 995.0; Health Usage: 1000.0; Fuel: 241.0; Tile: ROAD
2019-05-30 18:22:49 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,1; Parcels:      0; Health: 995.0; Health Usage: 1000.0; Fuel: 241.0; Tile: ROAD
2019-05-30 18:22:49 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,1; Parcels:      0; Health: 995.0; Health Usage: 1000.0; Fuel: 241.0; Tile: ROAD
2019-05-30 18:22:49 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,1; Parcels:      0; Health: 995.0; Health Usage: 1000.0; Fuel: 241.0; Tile: ROAD
2019-05-30 18:22:49 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,1; Parcels:      0; Health: 995.0; Health Usage: 1000.0; Fuel: 241.0; Tile: ROAD
